Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
jeep,compass,2020.0,sport,,Nafta,5.0,manual,2.4,,114000.0,24000.0,concesionaria,,
chevrolet,tracker,2021.0,ltz turbo,Blanco,Nafta,5.0,automatica,1.2,,72261.0,21412.0,tienda,,
toyota,rav4,2013.0,,Rojo,Nafta,5.0,automatica,2.5,,140000.0,25800.0,concesionaria,,4x4
fiat,pulse,2025.0,gse drive,Gris,Nafta,5.0,manual,1.3,,0.0,20119.0,tienda,,
ford,kuga,2020.0,se,Negro,Híbrido,5.0,automatica,2.5,,59000.0,26880.0,concesionaria,,4x2
ford,ecosport,2014.0,freestyle 143,Plateado,Nafta,5.0,manual,2.0,0,142000.0,13200.0,concesionaria,,4x4
hyundai,creta,2023.0,style,Gris,Nafta,5.0,automatica,1.6,1,35000.0,25000.0,particular,,
toyota,corollacross,2025.0,seg,Blanco,Nafta,5.0,automatica,2.0,1,0.0,41760.0,concesionaria,,
jeep,renegade,2021.0,sport,Gris,Nafta,5.0,manual,1.8,,97000.0,18392.0,tienda,,
toyota,hiluxsw4,2006.0,srv cuero,Gris,Diésel,5.0,automatica,3.0,0,339000.0,17500.0,particular,,4x4
bmw,x1,2018.0,sdrive 25i xline,Blanco,Nafta,5.0,manual,2.0,,99000.0,38500.0,concesionaria,231.0,
nissan,kicks,2020.0,exclusive bitono,Gris,Nafta,5.0,automatica,1.6,1,120000.0,22400.0,concesionaria,,
fiat,pulse,2022.0,drive gse,Negro,Nafta,5.0,manual,1.3,,47500.0,19600.0,concesionaria,,
ford,ecosport,2019.0,gdi freestyle,Azul,Nafta,5.0,,2.0,,115000.0,21200.0,concesionaria,170.0,4x4
toyota,corollacross,2025.0,xei ecvt,Blanco,Híbrido,5.0,,1.8,,0.0,42399.0,concesionaria,,
hyundai,tucson,2019.0,style,Gris,Nafta,5.0,automatica,2.0,,100000.0,24900.0,tienda,,4x2
bmw,x1,2019.0,sdrive 18i active,Negro,Nafta,5.0,manual,2.0,,72000.0,29990.0,concesionaria,,
peugeot,2008,2022.0,feline,Blanco,Nafta,5.0,manual,1.6,,24000.0,22500.0,concesionaria,,
chevrolet,blazer,1998.0,dlx,Gris,Diésel,5.0,manual,2.8,,150000.0,9440.0,concesionaria,,4x4
ford,kuga,2013.0,titanium l ku05,Gris,Nafta,5.0,automatica,2.5,,87000.0,12960.0,concesionaria,,4x4
ds,ds7,2025.0,pallas,Negro,Nafta,5.0,,1.6,1,0.0,56720.0,concesionaria,215.0,
honda,hrv,2016.0,lx,Gris,Nafta,5.0,automatica,1.8,,98000.0,16800.0,tienda,,4x2
chevrolet,trailblazer,2022.0,ctdi premier,Gris,Diésel,5.0,automatica,2.8,,32000.0,48000.0,concesionaria,200.0,4x4
citroen,c4cactus,2017.0,puretech 110 ss shine,Negro,Nafta,5.0,automatica,1.2,,77000.0,14600.0,concesionaria,,
jeep,grandcherokee,2024.0,limited at8,Negro,Nafta,5.0,,3.6,,20000.0,110000.0,particular,293.0,4x4
volkswagen,taos,2025.0,250 tsi highline,Gris,Nafta,5.0,,1.4,,0.0,35440.0,tienda,,
ford,ecosport,2017.0,se,Negro,Nafta,5.0,manual,1.6,,54000.0,15900.0,concesionaria,110.0,4x2
volkswagen,nivus,2025.0,tsi 200 outfit,Gris,Nafta,5.0,,1.0,,0.0,28120.0,tienda,,
honda,hrv,2017.0,ex,Blanco,Nafta,5.0,automatica,1.8,1,84000.0,24000.0,particular,,4x2
toyota,corollacross,2024.0,seg ecvt,Negro,Híbrido,5.0,,1.8,,20000.0,37760.0,concesionaria,,
hyundai,santafe,2008.0,v6 gls 4at premium,Negro,Nafta,5.0,,2.7,,171000.0,8800.0,particular,,
peugeot,2008,2016.0,feline,Negro,Nafta,5.0,manual,1.6,,105000.0,14392.0,particular,,
volkswagen,tiguan,2018.0,allspace comfortline l17,BLANCA,Nafta,5.0,automatica,2.0,,89000.0,28560.0,concesionaria,,
honda,hrv,2016.0,exl,Gris,Nafta,5.0,automatica,1.8,,113000.0,21000.0,particular,,4x2
bmw,x3,2023.0,30e xline,Negro,Híbrido,5.0,,2.0,,16000.0,89900.0,concesionaria,,4x4
audi,q5,2012.0,tfsi,Blanco,Nafta,5.0,manual,2.0,,180000.0,17600.0,concesionaria,211.0,4x4
audi,q5,2011.0,tfsi,Gris,Nafta,5.0,automatica,2.0,1,89000.0,21900.0,concesionaria,211.0,4x4
volkswagen,nivus,2025.0,tsi 200 outfit,Blanco,Nafta,5.0,,1.0,,0.0,30792.0,tienda,,
fiat,pulse,2024.0,abarth gse,Rojo,Nafta,5.0,automatica,1.3,,0.0,26800.0,concesionaria,,
peugeot,2008,2022.0,feline,Plateado,Nafta,5.0,manual,1.6,,76946.0,16960.0,tienda,,
audi,q5,2010.0,tfsi,Blanco,Nafta,5.0,automatica,2.0,,250000.0,15000.0,particular,211.0,4x4
chery,tiggo2,2018.0,luxury,Naranja,Nafta,5.0,manual,1.5,,74000.0,15402.0,concesionaria,,
peugeot,2008,2017.0,allure,Blanco,Nafta,5.0,manual,1.6,,68000.0,12800.0,particular,,
toyota,corollacross,2024.0,xei ecvt,Gris,Híbrido,5.0,,1.8,,16000.0,35120.0,concesionaria,,
nissan,kicks,2021.0,exclusive,Blanco,Nafta,5.0,automatica,1.6,,45000.0,25600.0,particular,,
bmw,x1,2017.0,sdrive 20i sportline,Gris,Nafta,5.0,manual,2.0,1,47000.0,33500.0,concesionaria,192.0,
jeep,wrangler,2016.0,sport mtx,Negro,Nafta,3.0,manual,3.6,,85000.0,58000.0,particular,284.0,
chevrolet,tracker,2025.0,premier turbo,Verde,Nafta,5.0,automatica,1.2,,0.0,24800.0,tienda,,
chery,tiggo,2015.0,f2 confort,Azul,Nafta,5.0,manual,1.6,,205000.0,12080.0,concesionaria,125.0,4x2
hyundai,tucson,2012.0,gl,Plateado,Nafta,5.0,automatica,2.0,,169000.0,14900.0,particular,,4x2
chevrolet,tracker,2020.0,turbo premier,Plateado,Nafta,5.0,automatica,1.2,,38000.0,21440.0,concesionaria,,
mercedesbenz,clasegle,2017.0,gle400 sport coupe,Blanco,Nafta,3.0,,3.0,1,83065.0,79000.0,particular,333.0,4x4
volkswagen,taos,2025.0,250 tsi highline,Gris,Nafta,5.0,,1.4,,0.0,35360.0,tienda,,
chevrolet,tracker,2014.0,ltz,Plateado,Nafta,5.0,automatica,1.8,1,97000.0,14500.0,particular,140.0,4x4
peugeot,2008,2025.0,allure,Gris,Nafta,5.0,,1.0,,0.0,29085.0,tienda,,
toyota,rav4,2013.0,tx l13,Blanco,Nafta,5.0,automatica,2.5,0,175097.0,22000.0,concesionaria,,4x4
renault,duster,2018.0,ph2 privilege,Gris,Nafta,5.0,manual,1.6,1,69000.0,18000.0,particular,110.0,4x2
hyundai,tucson,2013.0,gl,Gris,Nafta,5.0,automatica,2.0,,127000.0,16800.0,concesionaria,,4x2
jeep,compass,2025.0,t270 limited,Gris,Nafta,5.0,automatica,1.3,,1100.0,34320.0,concesionaria,,4x2
jeep,compass,2020.0,td limited plus at9 l21,Negro,Diésel,5.0,,2.0,1,109800.0,32520.0,tienda,,
nissan,xtrail,2019.0,exclusive xtronic,Negro,Nafta,5.0,automatica,2.5,1,90000.0,27700.0,particular,,
chevrolet,tracker,2023.0,ltz,Gris,Nafta,5.0,automatica,1.2,1,26635.0,24728.0,concesionaria,,
peugeot,2008,2022.0,feline,Plateado,Nafta,5.0,manual,1.6,1,76946.0,16960.0,tienda,,
chevrolet,tracker,2018.0,ltz,Plateado,Nafta,5.0,manual,1.8,,91000.0,16000.0,concesionaria,,
peugeot,2008,2025.0,active,Gris,Nafta,5.0,,1.0,,0.0,10880.0,concesionaria,,
honda,hrv,2016.0,ex,Negro,Nafta,5.0,automatica,1.8,,157000.0,18000.0,tienda,,4x2
citroen,c4cactus,2025.0,thp 165 shine,Gris,Nafta,5.0,automatica,1.6,,0.0,14400.0,tienda,,
bmw,x6,2018.0,35i pure extravagance,Blanco,Nafta,5.0,,3.0,,154000.0,69500.0,particular,,4x4
bmw,x3,2018.0,20i at8,Gris,Nafta,5.0,,2.0,,79000.0,34000.0,concesionaria,,4x4
audi,q7,2011.0,tfsi,Negro,Nafta,5.0,automatica,3.0,,108000.0,26000.0,concesionaria,272.0,4x4
peugeot,2008,2025.0,active,Blanco,Nafta,5.0,,1.0,1,0.0,25488.0,tienda,,
audi,q5,2010.0,tfsi,Gris,Nafta,5.0,automatica,2.0,,128000.0,20000.0,concesionaria,211.0,4x4
kia,sorento,2011.0,ex premium,Negro,Nafta,5.0,automatica,2.4,1,194000.0,15500.0,concesionaria,,4x4
volkswagen,tcross,2020.0,trendlinde,Azul,Nafta,5.0,manual,1.6,,94000.0,19520.0,concesionaria,,
toyota,hiluxsw4,2012.0,srv cuero i,Gris,Diésel,5.0,manual,3.0,1,168000.0,30000.0,particular,171.0,4x4
honda,hrv,2016.0,lx,Plateado,Nafta,5.0,automatica,1.8,,150000.0,20000.0,particular,,4x2
hyundai,tucson,2013.0,gls premium,Negro,Nafta,5.0,automatica,2.0,,139000.0,15500.0,particular,,4x4
chevrolet,tracker,2015.0,ltz,Negro,Nafta,5.0,manual,1.8,,155000.0,12960.0,concesionaria,140.0,4x2
peugeot,3008,2021.0,gtline hdi,Rojo,Diésel,5.0,automatica,2.0,,80000.0,36800.0,concesionaria,,
ford,kuga,2021.0,se,Gris,Híbrido,5.0,,2.5,1,47521.0,31000.0,particular,,4x2
honda,hrv,2020.0,ex l20,Gris,Nafta,5.0,automatica,1.8,,57000.0,28000.0,particular,,4x2
bmw,x6,2010.0,35i sportive,Gris,Nafta,5.0,,3.0,,118000.0,34000.0,concesionaria,306.0,4x4
renault,duster,2017.0,ph2 dynamique,Gris,Nafta,5.0,manual,1.6,,137000.0,13520.0,particular,,4x2
daihatsu,terios,2001.0,sx,Gris,Nafta,5.0,automatica,1.3,,266000.0,5200.0,particular,,4x4
nissan,kicks,2021.0,sense,Plateado,Nafta,5.0,manual,1.6,,75000.0,20400.0,concesionaria,,
citroen,c3aircross,2025.0,feel pack turbo 200,Gris,Nafta,5.0,automatica,1.0,,0.0,24000.0,concesionaria,,
porsche,panamera,2011.0,turbo 970,Negro,Nafta,,,4.8,,78000.0,119000.0,concesionaria,500.0,
ford,ecosport,2005.0,xl plus,Dorado,Nafta,5.0,manual,1.6,0,126000.0,4160.0,particular,,
baic,x35,2025.0,luxury,Rojo,Nafta,5.0,automatica,1.5,,0.0,26200.0,tienda,,
chevrolet,tracker,2015.0,ltz,Blanco,Nafta,5.0,automatica,1.8,,105000.0,14320.0,particular,140.0,4x4
toyota,corollacross,2023.0,xei,Blanco,Nafta,5.0,automatica,2.0,,32000.0,34000.0,particular,,
ssangyong,musso,1999.0,602 d el,Gris,Diésel,5.0,manual,2.9,,205000.0,7200.0,particular,,
toyota,hiluxsw4,2017.0,srx,Blanco,Diésel,5.0,automatica,2.8,,92000.0,36923.0,particular,177.0,4x4
dodge,journey,2018.0,sxt techo dvd nav,Beige,Nafta,5.0,,2.4,,80000.0,23800.0,concesionaria,170.0,
nissan,kicks,2021.0,advance,Blanco,Nafta,5.0,automatica,1.6,,70000.0,21920.0,particular,,
renault,dusteroroch,2016.0,outsider plus,Blanco,Nafta,,manual,2.0,,115000.0,15840.0,concesionaria,,
chevrolet,tracker,2025.0,rs,Azul,Nafta,5.0,automatica,1.2,,0.0,26640.0,tienda,,
bmw,x4,2015.0,35i m package,Negro,Nafta,5.0,,3.0,,160000.0,54800.0,concesionaria,306.0,4x4
chery,tiggo3,2017.0,luxury,Marrón,Nafta,5.0,manual,1.6,,98500.0,10400.0,tienda,,
ford,ecosport,2012.0,my10 xlt plus,Gris,Nafta,5.0,manual,2.0,,180000.0,10500.0,concesionaria,,4x2
chery,tiggo5,2018.0,luxury,Blanco,Nafta,5.0,automatica,2.0,1,145000.0,14400.0,particular,,
renault,duster,2013.0,confort plus abs,Negro,Nafta,5.0,manual,1.6,,188208.0,9500.0,particular,110.0,4x2
citroen,c4cactus,2022.0,thp 165 shine,Gris,Nafta,,automatica,1.6,,87000.0,20000.0,concesionaria,,
audi,q3,2025.0,tfsi,Gris,Nafta,5.0,automatica,1.4,,0.0,57900.0,tienda,150.0,
citroen,c3aircross,2024.0,shine turbo 200,Rojo,Nafta,5.0,automatica,1.0,,5000.0,22400.0,concesionaria,,
hyundai,tucson,2024.0,tgdi tct,Azul,Nafta,5.0,,1.6,1,0.0,58000.0,concesionaria,,
toyota,hiluxsw4,2018.0,srx,Blanco,Diésel,5.0,automatica,2.8,,140000.0,38900.0,concesionaria,177.0,4x4
hyundai,tucson,2019.0,style,Blanco,Nafta,5.0,automatica,2.0,,54000.0,26900.0,tienda,,4x2
chevrolet,trailblazer,2025.0,high country,Negro,Diésel,5.0,automatica,2.8,1,0.0,46240.0,tienda,,4x4
ford,broncosport,2025.0,ecoboost wildtrak at8,Verde,Nafta,5.0,,2.0,,0.0,47840.0,concesionaria,,4x4
volkswagen,tcross,2020.0,comfortline,Blanco,Nafta,5.0,automatica,1.6,1,156000.0,19920.0,particular,,
dodge,journey,2017.0,sxt techo dvd nav,Negro,Nafta,5.0,,2.4,,110000.0,19500.0,tienda,170.0,
nissan,kicks,2021.0,advance,Negro,Nafta,5.0,manual,1.6,,66900.0,22000.0,tienda,,
