Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
jeep,compass,2025.0,t270 series,Gris plata,Nafta,5.0,automatica,1.3,1,0.0,35960.0,tienda,272.0,4x2
nissan,xterra,2007.0,se,Gris plata,Diésel,5.0,manual,2.8,0,280000.0,13500.0,particular,123.0,4x4
renault,duster,2013.0,luxe nav,Negro,Nafta,5.0,manual,2.0,0,134000.0,13500.0,particular,138.0,4x4
jeep,renegade,2025.0,longitude,Negro,Nafta,5.0,automatica,1.3,1,0.0,29592.0,concesionaria,170.0,4x2
nissan,xtrail,2014.0,exclusive xtronic,Gris plata,Nafta,5.0,automatica,2.5,1,160000.0,16800.0,particular,110.0,4x4
nissan,kicks,2022.0,exclusive,Rojo,Nafta,5.0,automatica,1.6,1,60000.0,29500.0,concesionaria,120.0,4x4
fiat,pulse,2024.0,drive gse,Blanco,Nafta,5.0,automatica,1.3,1,0.0,19920.0,concesionaria,110.0,4x2
lifan,myway,2017.0,vvt,Rojo,Nafta,5.0,manual,1.8,0,105000.0,14900.0,particular,110.0,4x2
toyota,hiluxsw4,2016.0,srx,Plateado,Diésel,5.0,automatica,2.8,1,109000.0,36500.0,concesionaria,177.0,4x4
ford,ecosport,2006.0,my10 xls,Azul,Nafta/GNC,5.0,manual,1.6,0,190000.0,7120.0,particular,110.0,4x2
citroen,c4cactus,2021.0,thp 165 shine,Gris plata,Nafta,5.0,automatica,1.6,1,101000.0,18000.0,tienda,165.0,4x2
citroen,c4cactus,2019.0,thp 165 shine,Blanco,Nafta,5.0,automatica,1.6,1,65500.0,17900.0,particular,165.0,4x2
fiat,pulse,2024.0,drive gse,Rojo,Nafta,5.0,automatica,1.3,1,0.0,25641.0,tienda,110.0,4x2
volkswagen,taos,2024.0,250 tsi comfortline,Blanco,Nafta,5.0,automatica,1.4,1,0.0,28560.0,particular,150.0,4x2
volkswagen,tiguan,2009.0,sport style tsi,Celeste,Nafta,5.0,automatica,2.0,0,180000.0,12900.0,concesionaria,200.0,4x4
volkswagen,nivus,2025.0,tsi comfortline,Gris plata,Nafta,5.0,automatica,1.0,1,0.0,22560.0,tienda,101.0,4x2
honda,hrv,2019.0,ex,Azul,Nafta,5.0,automatica,1.8,1,79000.0,30999.0,concesionaria,154.0,4x2
